Year,Make,Model,Variant,Kilometers Driven,Fuel Type,Owner,Price,EMI
2013,Hyundai,i10,MAGNA 1.1,"66,578 km",Petrol,3rd owner,₹2.86L,"EMI ₹7,534/m"
2017,Nissan,Terrano,XL D PLUS,"85,983 km",Diesel,1st owner,₹6.24L,"EMI ₹12,199/m"
2014,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,"1,07,168 km",Petrol,1st owner,₹3.71L,"EMI ₹8,253/m"
2021,Maruti,Vitara,Brezza ZXI AT SHVS,"35,713 km",Petrol,2nd owner,₹9.86L,"EMI ₹18,768/m"
2017,Maruti,Baleno,DELTA PETROL 1.2,"85,337 km",Petrol,2nd owner,₹5.25L,"EMI ₹10,264/m"
2018,Tata,NEXON,XZA PLUS PETROL DUAL TONE,"69,521 km",Petrol,1st owner,₹7.98L,"EMI ₹15,610/m"
2022,Mahindra,XUV700,AX 5 P AT 5 STR,"31,604 km",Petrol,1st owner,₹19.46L,"EMI ₹37,040/m"
2020,Maruti,XL6,ALPHA AT,"29,033 km",Petrol,1st owner,₹10.24L,"EMI ₹19,491/m"
2018,Maruti,Ciaz,ALPHA 1.5 SHVS PETROL,"66,803 km",Petrol,2nd owner,₹7.18L,"EMI ₹14,028/m"
2013,Maruti,Swift,Dzire VXI,"78,036 km",Petrol,1st owner,₹4.13L,"EMI ₹10,876/m"
2015,Maruti,Swift,VXI,"49,672 km",Petrol,1st owner,₹4.74L,"EMI ₹9,267/m"
2022,Skoda,SLAVIA,STYLE 1.0L TSI AT,"30,564 km",Petrol,1st owner,₹15.03L,"EMI ₹28,608/m"
2018,Volkswagen,Polo,COMFORTLINE 1.0L MPI,"47,445 km",Petrol,2nd owner,₹5.26L,"EMI ₹10,284/m"
2020,KIA,SONET,HTX 1.0 IMT,"37,900 km",Petrol,2nd owner,₹8.67L,"EMI ₹16,503/m"
2022,Maruti,S,PRESSO VXI+,"40,152 km",Petrol,2nd owner,₹4.42L,"EMI ₹8,641/m"
2021,Nissan,MAGNITE,XV TURBO,"35,136 km",Petrol,1st owner,₹7.23L,"EMI ₹14,135/m"
2016,Maruti,Alto,K10 VXI AMT,"1,13,033 km",Petrol,1st owner,₹3.28L,"EMI ₹7,296/m"
2017,Honda,Jazz,1.2L I-VTEC V AT,"77,402 km",Petrol,1st owner,₹5.86L,"EMI ₹11,462/m"
2021,Maruti,Swift,VXI,"20,277 km",Petrol,2nd owner,₹6.09L,"EMI ₹11,914/m"
2017,Maruti,Alto,800 VXI,"30,827 km",Petrol,2nd owner,₹2.92L,"EMI ₹5,702/m"
